numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label
0560624Z,C 6 ESPACE KER AN HOLL,MOUSTOIR AC,56500,264132.2,6766731.2,47.85599965281375,-2.833800110194645,C
0911402E,C AVENUE DES MEUNIERS,ETAMPES,91150,636831.3,6815473.5,48.43646603760289,2.1459514411163925,C
0920904H,C 2 RUE DE L'ABBAYE,ANTONY,92160,648540.7,6850641.3,48.75382931490658,2.300040078825897,C
0390555S,C 16 RUE FRANÇOIS BUSSENET,LONS LE SAUNIER,39000,895904.4,6622566.1,46.67456060036615,5.563159865956429,C
0420330F,C 39 RUE WILSON,ROANNE,42300,784380.3,6551448.7,46.05755641141691,4.091460362697138,C
0520725F,C 11 RUE CHARLES GOUNOD,CHAUMONT,52000,859605.3,6778651.6,48.088738123218725,5.143919699993616,C
0692499S,C 46 RUE PASTEUR,LYON,69007,843009.8,6518697.2,45.75288063133149,4.839745791171421,C
0501916L,C 21 RUE MARÉCHAL DE LATTRE DE TASSIGNY,ST LO CEDEX,50004,402198.0,6898184.9,49.114205582373465,-1.080684377285271,C
0071075F,C 21 AVENUE NOTRE DAME,BOURG ST ANDEOL,7700,831010.8,6365244.4,44.37395775323085,4.644330062913238,C
0921636D,C 46 RUE JULES MICHELET,COLOMBES,92700,646472.8,6870475.8,48.93203146116174,2.269417521621129,C
0240732R,C PLACE DU 14 JUILLET,SARLAT LA CANEDA,24200,559142.7,6422504.0,44.88739791811943,1.2158905130819109,C
0800335E,C 4 RUE JULES FERRY,DURY,80480,647238.7,6972000.4,49.84459959577601,2.2670078425056457,C
0921402Z,C RUE DES PIERRETTES,CHATILLON,92320,647906.8,6855479.2,48.797288087860615,2.290827103953921,C
0591279V,C RUE BERNARD PALISSY,GRANDE SYNTHE,59760,650536.7,7102465.1,51.01596708461703,2.296679709290688,C
0020773E,C 33 ROUTE NATIONALE,ROMENY SUR MARNE,2310,724415.9,6875062.4,48.9750391222777,3.3335198830934103,C
