,numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,coordonnee_x,coordonnee_y,latitude,longitude
21072,0681815D,52 AVENUE DE LA RÉPUBLIQUE ENTREEBARTHELEMY,COLMAR CEDEX,68017,1023799.2,6783795.4,48.07424624390209,7.3499509036506305
60238,0421742R,14 PLACE GIRODET ENTREEBARTHELEMY,ST ETIENNE,42000,807914.2,6484115.5,45.447987881905675,4.380589476799199
47174,0351762A,1 RUE LE GENTIL ENTREEBARTHELEMY,ST MALO,35400,332135.4,6849197.7,48.63818869901566,-1.9959792885538368
18388,0070940J,RUE DU QUAI ENTREEBARTHELEMY,GLUN,07300,844883.6,6436779.3,45.015061778954454,4.839299725074611
40736,0870594Y,RUE GEORGES-EMMANUEL CLANCIER ENTREEBARTHELEMY,AIXE SUR VIENNE,87700,555130.0,6523782.7,45.79826946480093,1.134787465702781
36560,0381179A,18 RUE DANIÈLE CASANOVA ENTREEBARTHELEMY,SALAISE SUR SANNE,38150,842523.4,6473223.7,45.34361662840659,4.820009629759012
52955,0573620A,30 RUE RAYMOND MONDON ENTREEBARTHELEMY,RONCOURT,57860,921412.9,6904468.7,49.20159488701415,6.038470401532119
19382,0601886Z,15 RUE DU MERLE ENTREEBARTHELEMY,NOYON,60400,699389.3,6942373.0,49.58059100499727,2.9915595377240005
28124,0311695Z,6 RUE DE LA SARTHE ENTREEBARTHELEMY,TOULOUSE,31100,571827.1,6275907.9,43.57064715067767,1.413799948115106
58819,0280287K,16 RUE DE LA MAIRIE ENTREEBARTHELEMY,FRESNAY LE COMTE,28360,587008.2,6801395.4,48.303072034312095,1.4761404978960717
21067,0681786X,6 RUE SCHAEDELIN ENTREEBARTHELEMY,COLMAR,68000,1022836.2,6784607.3,48.082017667615894,7.337638469563873
22341,0711874B,16 RUE GUILLEMINOT ENTREEBARTHELEMY,DIGOIN,71160,775131.5,6598209.9,46.4796856806796,3.979341354474461
4243,0290900W,RUE JEAN MOULIN ENTREEBARTHELEMY,LE RELECQ KERHUON,29480,153471.3,6837764.6,48.40964439690782,-4.396030668603512
48799,0830836H,AVENUE DU COLLÈGE ENTREEBARTHELEMY,CARQUEIRANNE,83320,950360.3,6226374.0,43.09279378450591,6.073316526897296
41995,0010378F,ROUTE DE MONTHIEUX ENTREEBARTHELEMY,ST MARCEL,01390,853713.2,6540774.7,45.949294640072914,4.984520146764946
61240,0521091D,3 RUE DE LA MAIRIE ENTREEBARTHELEMY,HUMES JORQUENAY,52200,871892.2,6758475.4,47.90413013901955,5.300979439353384
1662,0381585S,2 PLACE DE LA MAIRIE ENTREEBARTHELEMY,ST CLAIR DE LA TOUR,38110,893154.0,6500129.0,45.573397463792816,5.47696457252294
8404,0050012L,127 ROUTE DE VALSERRES ENTREEBARTHELEMY,GAP,05000,945520.5,6387205.4,44.54066308546264,6.091216108562817
39487,0331071K,22 LOTISSEMENT BOIS D'ISAAC ENTREEBARTHELEMY,LA ROQUILLE,33220,481106.7,6413764.3,44.788493863318486,0.2320255976930499
32851,0831186N,10 BOULEVARD PASTEUR ENTREEBARTHELEMY,HYERES CEDEX,83409,955198.9,6229603.2,43.12010544744189,6.13422397598725
24965,0170027M,RUE HENRI BARBUSSE ENTREEBARTHELEMY,LA ROCHELLE,17000,380819.3,6570169.5,46.156063027127914,-1.13777998241965
35887,0570377A,37 PLACE DE L'EGLISE ENTREEBARTHELEMY,MITTERSHEIM,57930,989107.4,6869734.1,48.86267303558466,6.942299323191492
47215,0352324L,1 AVENUE DU CLOS JOURY ENTREEBARTHELEMY,LE RHEU,35650,342921.3,6788709.4,48.10105018297311,-1.7999904726430676
61861,0600586L,23 RUE DE L'EGLISE ENTREEBARTHELEMY,ROSOY,60140,663456.2,6915845.6,49.34112313208002,2.49727055039268
829,0340883A,2958  AVENUE DES MOULINS ENTREEBARTHELEMY,MONTPELLIER,34080,767021.0,6280149.9,43.61722907393701,3.8300494104494565
7408,0711188F,17 BIS RUE DU GÉNÉRAL LECLERC ENTREEBARTHELEMY,CHAGNY,71150,833408.4,6647453.2,46.913938932827605,4.7530371515202585
63735,0762506L,945 RUE DU GÉNÉRAL DE GAULLE ENTREEBARTHELEMY,ST JACQUES SUR DARNETAL,76160,569674.0,6928286.2,49.44066446006658,1.2035094276958411
23749,0040044B,5 PLACE DES CORDELIERS ENTREEBARTHELEMY,DIGNE LES BAINS CEDEX,04004,959128.5,6338164.0,44.09466935826107,6.237060584123931
33083,0851271V,2 RUE DU DOCTEUR PABOEUF ENTREEBARTHELEMY,LUCON,85400,380378.0,6603459.7,46.45520925511292,-1.166239737054564
3049,0511434G,1 ROUTE ROYALE ENTREEBARTHELEMY,STE MENEHOULD CEDEX,51801,839591.8,6889743.7,49.092321392861386,4.9113097151798355
35162,0221240D,ROUTE DE DINAN ENTREEBARTHELEMY,BEAUSSAIS SUR MER,22650,321342.7,6843103.0,48.57725415322151,-2.1367704862320998
31752,0623429R,RUE JEAN CLAUDE DELOBELLE ENTREEBARTHELEMY,DIVION,62460,665165.0,7041294.3,50.4681019610364,2.510070078331473
7319,0700765B,2 RUE DES ECOLES ENTREEBARTHELEMY,VILLERS LE SEC,70000,941743.7,6727021.1,47.599229638753,6.217983888078447
50428,0772646H,2 COURS DE LA TAMISE ENTREEBARTHELEMY,SERRIS,77700,683721.5,6861884.7,48.856793777768765,2.778141588998246
63804,0770150V,8 ROUTE DE CHÂTEAU LANDON ENTREEBARTHELEMY,MONDREVILLE,77570,670969.3,6782542.9,48.14260647152796,2.609690099838707
13938,0490676U,PLACE FLANDRE ET DUNKERQUE ENTREEBARTHELEMY,VEZINS,49340,418576.6,6675603.4,47.121131122008876,-0.7132894135796402
