numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
0900461M,APT RUE D'ALEMBERT,BAVILLIERS,90800,988184.4,6732255.4,47.62762495789006,6.838671808064349,APT,47.627625,6.838672,Rue d'Alembert 90800 Bavilliers,0.84,street,90008_0021,,Rue d'Alembert,,90800,Bavilliers,"90, Territoire de Belfort, Bourgogne-Franche-Comté",90008,,,
0131074X,APT 24 BOULEVARD DES ECOLES,LE PUY STE REPARADE,13610,896529.6,6288107.0,43.664712700621685,5.436360415236015,APT,43.664817,5.435734,24 Boulevard des Ecoles 13610 Le Puy-Sainte-Réparade,0.81,housenumber,13080_2050_00024,24,Boulevard des Ecoles,,13610,Le Puy-Sainte-Réparade,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13080,,,
0890778M,APT 23  GRANDE RUE,CHARENTENAY,89580,740830.2,6727853.2,47.64979835636565,3.543882170858923,APT,47.651031,3.545824,Grande Rue 89580 Charentenay,0.76,street,89084_0100,,Grande Rue,,89580,Charentenay,"89, Yonne, Bourgogne-Franche-Comté",89084,,,
0870911T,APT 3 RUE LAMARTINE,ST LAURENT SUR GORRE,87310,541011.1,6520964.1,45.7697476058398,0.9540233876638392,APT,45.76933,0.953373,3 Rue Lamartine 87310 Saint-Laurent-sur-Gorre,0.78,housenumber,87158_0135_00003,3,Rue Lamartine,,87310,Saint-Laurent-sur-Gorre,"87, Haute-Vienne, Nouvelle-Aquitaine",87158,,,
0330058J,APT 43 RUE FORT BAYARD,BRANNE,33420,448373.9,6418990.1,44.82440507553535,-0.1841351276871816,APT,44.824405,-0.184135,43 Rue du Fort Bayard 33420 Branne,0.78,housenumber,33071_0020_00043,43,Rue du Fort Bayard,,33420,Branne,"33, Gironde, Nouvelle-Aquitaine",33071,,,
0840005Z,APT 138  AVENUE DE TARASCON,AVIGNON CEDEX 2,84082,845280.4,6315876.7,43.92691483931859,4.809175112989619,APT,43.926915,4.809175,138 Avenue de Tarascon 84000 Avignon,0.65,housenumber,84007_6400_00138,138,Avenue de Tarascon,,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,
0911312G,APT RUE DESCARTES,EVRY COURCOURONNES,91000,658534.7,6837357.5,48.63507089252188,2.4372630242919167,APT,48.635071,2.437263,Rue Descartes 91000 Évry-Courcouronnes,0.88,street,91228_0385,,Rue Descartes,,91000,Évry-Courcouronnes,"91, Essonne, Île-de-France",91228,91228,Évry,
0451210W,APT 11 RUE DES LORIOTS,GIEN,45500,671648.6,6733327.7,47.69972811877413,2.621990558862867,APT,47.700588,2.62094,11 Rue des Loriots 45500 Gien,0.85,housenumber,45155_0958_00011,11,Rue des Loriots,,45500,Gien,"45, Loiret, Centre-Val de Loire",45155,,,
0060615L,APT QUARTIER DES VIGNES,VILLARS SUR VAR,6710,1028692.0,6323969.7,43.937997841954406,7.095470433714815,APT,44.028242,6.820994,Quartier le Villard 06470 Daluis,0.29,locality,06053_m2p9g7,,Quartier le Villard,,06470,Daluis,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06053,,,
0490662D,APT PLACE DE LA MAIRIE,ROCHEFORT SUR LOIRE,49190,423971.5,6701653.2,47.357658142818224,-0.6581200547291467,APT,47.34194,-0.614736,Rue de la Girauderie 49190 Rochefort-sur-Loire,0.62,street,49259_0202,,Rue de la Girauderie,,49190,Rochefort-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49259,,,
0352196X,APT 22 AVENUE DU PORT,GUIPRY MESSAC,35480,338049.5,6758189.7,47.82423090758469,-1.8401993224319253,APT,47.824255,-1.839793,22 Avenue du Port 35480 Guipry-Messac,0.87,housenumber,35176_thctkr_00022,22,Avenue du Port,,35480,Guipry-Messac,"35, Ille-et-Vilaine, Bretagne",35176,35129,Guipry,
0211992B,APT 2B RUE ALBERT GAYET,DIJON,21000,852426.9,6693368.8,47.32311174831084,5.01826434366499,APT,47.323153,5.017815,2b Rue Albert Gayet 21000 Dijon,0.87,housenumber,21231_0110_00002_b,2b,Rue Albert Gayet,,21000,Dijon,"21, Côte-d'Or, Bourgogne-Franche-Comté",21231,,,
0280238G,APT 4 RUE PASTEUR,LUCE,28110,586487.2,6816486.6,48.43872838396294,1.4651602384600733,APT,48.438765,1.465837,4 Rue Pasteur 28110 Lucé,0.82,housenumber,28218_0320_00004,4,Rue Pasteur,,28110,Lucé,"28, Eure-et-Loir, Centre-Val de Loire",28218,,,
0490003M,APT 2 RUE ADRIEN RECOUVREUR,ANGERS CEDEX 01,49007,432080.3,6712034.9,47.45435034132608,-0.5569974847068891,APT,47.45435,-0.556997,2 Rue Adrien Recouvreur 49000 Angers,0.67,housenumber,49007_0060_00002,2,Rue Adrien Recouvreur,,49000,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,
0331915C,APT 45 RUE DE DIJON,BORDEAUX CEDEX,33072,419403.5,6422300.1,44.84305663695766,-0.5521475974993606,APT,44.843008,-0.552078,45 Rue de Dijon 33100 Bordeaux,0.6,housenumber,33063_2680_00045,45,Rue de Dijon,,33100,Bordeaux,"33, Gironde, Nouvelle-Aquitaine",33063,,,
0930167B,APT 88 RUE SAINT STENAY,DRANCY,93700,657665.7,6869201.2,48.9214036586398,2.4223083651255357,APT,48.921471,2.422455,88 Rue Saint Stenay 93700 Drancy,0.86,housenumber,93029_8875_00088,88,Rue Saint Stenay,,93700,Drancy,"93, Seine-Saint-Denis, Île-de-France",93029,,,
0540936Z,APT 20 RUE DU CAMP,PONT A MOUSSON,54700,924223.8,6871737.4,48.90653365510262,6.059610366306891,APT,48.907458,6.058525,Rue du Camp 54700 Pont-à-Mousson,0.8,street,54431_0090,,Rue du Camp,,54700,Pont-à-Mousson,"54, Meurthe-et-Moselle, Grand Est",54431,,,
0911372X,APT IMPASSE DE LA TUILERIE,ST GERMAIN LES CORBEIL,91250,662433.0,6835280.1,48.616623213214496,2.4903483431162248,APT,48.616623,2.490349,Rue de la Tuilerie 91250 Saint-Germain-lès-Corbeil,0.7,street,91553_0230,,Rue de la Tuilerie,,91250,Saint-Germain-lès-Corbeil,"91, Essonne, Île-de-France",91553,,,
0010571R,APT 271 RUE DU 6 ET 7 FÉVRIER 1945,EVOSGES,1230,893484.9,6543143.8,45.960454124841306,5.498654351722564,APT,45.960417,5.498193,271 Rue du 6 et 7 Fevrier 1944 01230 Évosges,0.74,housenumber,01155_0057_00271,271,Rue du 6 et 7 Fevrier 1944,,01230,Évosges,"01, Ain, Auvergne-Rhône-Alpes",01155,,,
0831274J,APT 321 AVENUE DU FOURNAS,DRAGUIGNAN,83300,980064.4,6276245.7,43.52998404638255,6.464354254579692,APT,43.529984,6.464354,321 Avenue du Fournas 83300 Draguignan,0.88,housenumber,83050_1020_00321,321,Avenue du Fournas,,83300,Draguignan,"83, Var, Provence-Alpes-Côte d'Azur",83050,,,
0801666B,APT 4 PLACE WILLIAM POIVRE,DOINGT FLAMICOURT,80200,697626.0,6980442.3,49.92263183946819,2.966968937494318,APT,49.922632,2.966969,4 Place William Poivre 80200 Doingt,0.67,housenumber,80240_0840_00004,4,Place William Poivre,,80200,Doingt,"80, Somme, Hauts-de-France",80240,,,
0601100V,APT 331 RUE DE COMPIÈGNE,LE PLESSIER SUR ST JUST,60130,660302.1,6934617.3,49.50965340679776,2.4520893719278973,APT,49.509568,2.45191,331 Rue de Compiègne 60130 Le Plessier-sur-Saint-Just,0.81,housenumber,60498_0008_00331,331,Rue de Compiègne,,60130,Le Plessier-sur-Saint-Just,"60, Oise, Hauts-de-France",60498,,,
0783432G,APT 2 RUE DE LA CONSTITUANTE,SARTROUVILLE,78500,638487.5,6871752.4,48.94279676396546,2.1602500827567117,APT,48.942797,2.16025,2 Rue Constituante 78500 Sartrouville,0.77,housenumber,78586_0740_00002,2,Rue Constituante,,78500,Sartrouville,"78, Yvelines, Île-de-France",78586,,,
0881102V,APT 547 RUE DE NORMANDIE,CONTREXEVILLE CEDEX,88141,915689.7,6790804.8,48.18191745045845,5.902690206774568,APT,48.181917,5.90269,547 Rue de Normandie 88140 Contrexéville,0.71,housenumber,88114_0510_00547,547,Rue de Normandie,,88140,Contrexéville,"88, Vosges, Grand Est",88114,,,
0573407U,APT RUE DU 7 SEPTEMBRE,MONDELANGE,57300,929645.6,6911164.2,49.25883921515526,6.154999911719361,APT,49.259232,6.156752,Rue du 7 Septembre 57300 Mondelange,0.86,street,57474_0580,,Rue du 7 Septembre,,57300,Mondelange,"57, Moselle, Grand Est",57474,,,
0290642R,APT 69 RUE ALSACE LORRAINE,CROZON,29160,144461.4,6820271.5,48.24532426713808,-4.494830105937281,APT,48.246112,-4.494878,69 rue Alsace Lorraine 29160 Crozon,0.87,housenumber,29042_0010_00069,69,rue Alsace Lorraine,,29160,Crozon,"29, Finistère, Bretagne",29042,,,
0312104U,APT RUE DES ECOLES,FLOURENS,31130,583868.9,6278299.0,43.59423170216627,1.56224953613427,APT,43.594131,1.562308,Rue des Ecoles 31130 Flourens,0.83,locality,31184_q3ng6a,,Rue des Ecoles,,31130,Flourens,"31, Haute-Garonne, Occitanie",31184,,,
0340904Y,APT 24  BOULEVARD DE STRASBOURG,MONTPELLIER,34000,771383.3,6278623.0,43.60306532586883,3.883860086131327,APT,43.603158,3.883961,24 Boulevard de Strasbourg 34000 Montpellier,0.9,housenumber,34172_5390_00024,24,Boulevard de Strasbourg,,34000,Montpellier,"34, Hérault, Occitanie",34172,,,
0840457R,APT HAMEAU LE BOISSET,ST MARTIN DE CASTILLON,84750,902471.3,6308848.0,43.84958322821954,5.518167218138623,APT,43.849609,5.517999,Route du Boisset 84750 Saint-Martin-de-Castillon,0.61,street,84112_noa23e,,Route du Boisset,,84750,Saint-Martin-de-Castillon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84112,,,
0762245C,APT 20 RUE JACQUES PRÉVERT,DIEPPE,76370,563560.8,6981736.2,49.9195251968073,1.1015622706993202,APT,49.919024,1.101557,20 Rue Jacques Prevert 76370 Dieppe,0.87,housenumber,76217_1604_00020,20,Rue Jacques Prevert,,76370,Dieppe,"76, Seine-Maritime, Normandie",76217,,,
0550423L,APT 7 ROUTE DE RIGNY-SAINT-MARTIN,RIGNY LA SALLE,55140,899573.7,6838704.3,48.61772808999429,5.708080213640061,APT,48.619272,5.707624,7 Route de Rigny Saint Martin 55140 Rigny-la-Salle,0.87,housenumber,55433_0012_00007,7,Route de Rigny Saint Martin,,55140,Rigny-la-Salle,"55, Meuse, Grand Est",55433,,,
0950427Y,APT 9 ALLÉE JULES FERRY,GARGES LES GONESSE,95140,655719.7,6875093.2,48.9742547013272,2.3951384903552912,APT,48.974255,2.395138,9 Allee Jules Ferry 95140 Garges-lès-Gonesse,0.89,housenumber,95268_0385_00009,9,Allee Jules Ferry,,95140,Garges-lès-Gonesse,"95, Val-d'Oise, Île-de-France",95268,,,
0330135T,APT 14 AVENUE DE L UNIVERSITE,TALENCE CEDEX,33402,415487.0,6417948.7,44.80232383129405,-0.5991503312832988,APT,44.801654,-0.598034,14 Avenue de l'Université 33400 Talence,0.71,housenumber,33522_2545_00014,14,Avenue de l'Université,,33400,Talence,"33, Gironde, Nouvelle-Aquitaine",33522,,,
0110265D,APT 41 AVENUE DES CORBIÈRES,DOUZENS,11700,667092.9,6231880.9,43.18539576672378,2.595499403396626,APT,43.185116,2.595533,41 Avenue des Corbières 11700 Douzens,0.87,housenumber,11122_0023_00041,41,Avenue des Corbières,,11700,Douzens,"11, Aude, Occitanie",11122,,,
0771902Z,APT 10  PLACE D'ALNWICK,LAGNY SUR MARNE,77400,678685.0,6862859.1,48.86540971760624,2.7094512036278124,APT,48.86541,2.709451,10 Place d'Alnwick 77400 Lagny-sur-Marne,0.87,housenumber,77243_0053_00010,10,Place d'Alnwick,,77400,Lagny-sur-Marne,"77, Seine-et-Marne, Île-de-France",77243,,,
0590381U,APT 6 RUE DES TRANNOIS,DOUAI,59500,706216.5,7032856.6,50.39329688035113,3.0873006096627003,APT,50.393193,3.087289,6 Rue des Trannois 59500 Douai,0.86,housenumber,59178_4150_00006,6,Rue des Trannois,,59500,Douai,"59, Nord, Hauts-de-France",59178,,,
0811097C,APT LIEU-DIT LES FARGUETTES,STE GEMME,81190,637361.2,6331270.8,44.07764816876541,2.2179497775967123,APT,44.091392,2.211868,Route des Viguaries 81190 Sainte-Gemme,0.41,street,81249_0410,,Route des Viguaries,,81190,Sainte-Gemme,"81, Tarn, Occitanie",81249,,,
0352150X,APT CHEMIN DE TORIGNE,RENNES,35200,353441.0,6786456.8,48.08648167768639,-1.6571295347856714,APT,48.085786,-1.657634,Chemin de Torigné 35200 Rennes,0.86,street,35238_9260,,Chemin de Torigné,,35200,Rennes,"35, Ille-et-Vilaine, Bretagne",35238,,,
0341772S,APT 240 RUE MARIO ROUSTAN,LUNEL,34400,790829.3,6286418.0,43.67097134315798,4.125985399911263,APT,43.670929,4.126326,240 Rue Mario Roustan 34400 Lunel,0.86,housenumber,34145_0567_00240,240,Rue Mario Roustan,,34400,Lunel,"34, Hérault, Occitanie",34145,,,
0671385S,APT 3 PLACE DU GÉNÉRAL DE GAULLE,OBENHEIM,67230,1047241.8,6816892.3,48.359490063098185,7.690550722203636,APT,48.359606,7.690909,3 Place du Général de Gaulle 67230 Obenheim,0.87,housenumber,67338_0135_00003,3,Place du Général de Gaulle,,67230,Obenheim,"67, Bas-Rhin, Grand Est",67338,,,
0540431A,APT 14 RUE ERNEST BICHAT,FLAINVAL,54110,950344.2,6840765.1,48.61859986015483,6.397440397668284,APT,48.618598,6.397122,14 Rue Ernest Bichat 54110 Flainval,0.85,housenumber,54195_0020_00014,14,Rue Ernest Bichat,,54110,Flainval,"54, Meurthe-et-Moselle, Grand Est",54195,,,
0180606L,APT PLACE PIERRE ET EMILE GIRON,TORTERON,18320,697542.0,6657844.8,47.02082874185122,2.9676396688993494,APT,47.020824,2.967305,Place Pierre et Emile Giron 18320 Torteron,0.86,street,18265_0078,,Place Pierre et Emile Giron,,18320,Torteron,"18, Cher, Centre-Val de Loire",18265,,,
0800349V,APT 1 RUE DES ECOLES,DEMUIN,80110,666590.4,6969083.2,49.81970997662913,2.536083581419187,APT,49.819815,2.535961,1 Rue des Ecoles 80110 Démuin,0.83,housenumber,80237_0125_00001,1,Rue des Ecoles,,80110,Démuin,"80, Somme, Hauts-de-France",80237,,,
0694363T,APT 62 RUE MONTGOLFIER,LYON,69006,843680.7,6520815.4,45.771808478827545,4.8490113877258825,APT,45.771808,4.849012,62 Rue Montgolfier 69006 Lyon,0.86,housenumber,69386_4895_00062,62,Rue Montgolfier,,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement
0502015U,APT 92 RUE  PAUL DE GIBON,GRANVILLE,50400,364948.6,6869062.6,48.83439014322223,-1.56696666877956,APT,48.834393,-1.56676,92 Rue Paul de Gibon 50400 Granville,0.87,housenumber,50218_0545_00092,92,Rue Paul de Gibon,,50400,Granville,"50, Manche, Normandie",50218,,,
0600871W,APT 316 RUE DU PARADIS,BETHISY ST PIERRE,60320,685878.7,6911180.6,49.30007847895868,2.8058901990704244,APT,49.300257,2.805808,316 Rue du Paradis 60320 Béthisy-Saint-Pierre,0.79,housenumber,60068_0200_00316,316,Rue du Paradis,,60320,Béthisy-Saint-Pierre,"60, Oise, Hauts-de-France",60068,,,
0590133Z,APT 1079 RUE GUY MÔQUET,LOOS CEDEX,59373,700809.1,7056136.1,50.60228482894601,3.0114097341470454,APT,50.602121,3.011469,1079 Rue Guy Mocquet 59120 Loos,0.55,housenumber,59360_0530_01079,1079,Rue Guy Mocquet,,59120,Loos,"59, Nord, Hauts-de-France",59360,,,
0211545R,APT 1 RUE DE VELARS,POUILLY EN AUXOIS,21320,817518.9,6686207.2,47.26576479926289,4.554323083672084,APT,47.265765,4.554323,1 Rue de Velard 21320 Pouilly-en-Auxois,0.78,housenumber,21501_0951_00001,1,Rue de Velard,,21320,Pouilly-en-Auxois,"21, Côte-d'Or, Bourgogne-Franche-Comté",21501,,,
0460334N,APT 11 RUE GUSTAVE LARROUMET,GOURDON,46300,571700.0,6405556.8,44.73729111088473,1.3793004216248734,APT,44.737729,1.37973,Avenue Gustave Larroumet 46300 Gourdon,0.71,street,46127_0660,,Avenue Gustave Larroumet,,46300,Gourdon,"46, Lot, Occitanie",46127,,,
0501334D,APT 7 RUE JEANNE D'ARC,CHERBOURG EN COTENTIN,50120,364079.1,6959656.3,49.64696714625436,-1.6514502612973108,APT,49.652474,-1.666808,7 Rue de la Hurque 50120 Cherbourg-en-Cotentin,0.58,housenumber,50129_2588_00007,7,Rue de la Hurque,,50120,Cherbourg-en-Cotentin,"50, Manche, Normandie",50129,50173,Équeurdreville-Hainneville,
0572265C,APT 11 RUE D'HETTANGE,KANFEN,57330,925702.7,6930692.2,49.43564202694454,6.1114526611781965,APT,49.435642,6.111452,11 Rue de Hettange 57330 Kanfen,0.77,housenumber,57356_0140_00011,11,Rue de Hettange,,57330,Kanfen,"57, Moselle, Grand Est",57356,,,
0940401A,APT 65 AVENUE DU BAC,ST MAUR DES FOSSES,94100,661127.5,6856857.2,48.81061339792471,2.470675581740811,APT,48.810677,2.470647,Rue Adrien Jacques 94100 Saint-Maur-des-Fossés,0.47,street,94068_0030,,Rue Adrien Jacques,,94100,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068,,,
0950330T,APT PLACE DE LA RÉPUBLIQUE,ST PRIX,95390,646309.0,6879718.1,49.01512321943319,2.266009423346455,APT,49.015123,2.266009,Place de la République 95390 Saint-Prix,0.76,street,95574_0480,,Place de la République,,95390,Saint-Prix,"95, Val-d'Oise, Île-de-France",95574,,,
0950877M,APT 18 RUELLE DU MOULIN,FRANCONVILLE LA GARENNE,95130,643172.2,6877344.3,48.99350924453712,2.2234491656713344,APT,48.993509,2.223449,Allee de la Garenne Montbuisson 95130 Franconville,0.55,street,95252_0333,,Allee de la Garenne Montbuisson,,95130,Franconville,"95, Val-d'Oise, Île-de-France",95252,,,
0312911W,APT 29 RUE AUGUSTE RENOIR,CASTANET TOLOSAN,31320,578958.6,6270080.6,43.519479650914,1.5034005100783914,APT,43.51948,1.503402,29 Rue Auguste Renoir 31320 Castanet-Tolosan,0.89,housenumber,31113_0120_00029,29,Rue Auguste Renoir,,31320,Castanet-Tolosan,"31, Haute-Garonne, Occitanie",31113,,,
0382749G,APT 12 AVENUE DU MÉDECIN GÉNÉRAL VIALLET,ST EGREVE,38120,910644.0,6463595.0,45.23945424521086,5.685160269920428,APT,45.240201,5.683799,12 avenue médecin général viallet 38120 Saint-Égrève,0.78,housenumber,38382_0360_00012,12,avenue médecin général viallet,,38120,Saint-Égrève,"38, Isère, Auvergne-Rhône-Alpes",38382,,,
0171478P,APT 3 BOULEVARD DE SAINTONGE,MONTENDRE,17130,433667.0,6470989.1,45.28667272730906,-0.3983195606660706,APT,45.286501,-0.398078,3 Boulevard de Saintonge 17130 Montendre,0.87,housenumber,17240_0995_00003,3,Boulevard de Saintonge,,17130,Montendre,"17, Charente-Maritime, Nouvelle-Aquitaine",17240,,,
0912443L,APT 22 RUE ROBINSON,CORBEIL ESSONNES,91100,660508.0,6834115.0,48.606028628382425,2.4643408899878723,APT,48.606029,2.464341,22 Rue de Robinson 91100 Corbeil-Essonnes,0.83,housenumber,91174_4190_00022,22,Rue de Robinson,,91100,Corbeil-Essonnes,"91, Essonne, Île-de-France",91174,,,
0120362D,APT 10 RUE JEAN MOULIN,DECAZEVILLE,12300,640524.7,6385009.6,44.56162571544542,2.2510806329168678,APT,44.561649,2.251289,10 Rue Jean Moulin 12300 Decazeville,0.86,housenumber,12089_0570_00010,10,Rue Jean Moulin,,12300,Decazeville,"12, Aveyron, Occitanie",12089,,,
0320018W,APT PLACE DU VILLAGE,LANNEPAX,32190,477053.3,6304025.4,43.80003971651732,0.2294801520673105,APT,43.791383,0.255145,Au Pont de Laouarde 32190 Lannepax,0.44,locality,32190_B098,,Au Pont de Laouarde,,32190,Lannepax,"32, Gers, Occitanie",32190,,,
0594186E,APT 4 PLACE ROGER SALENGRO,ESCAUTPONT,59278,739891.3,7036381.7,50.42370206322085,3.5605505322213102,APT,50.423915,3.560886,4 Place Roger Salengro 59278 Escautpont,0.86,housenumber,59207_0459_00004,4,Place Roger Salengro,,59278,Escautpont,"59, Nord, Hauts-de-France",59207,,,
0280076F,APT 2 RUE JULES FERRY,DONNEMAIN ST MAMES,28200,578598.8,6779708.1,48.10645959720559,1.368799980895262,APT,48.106615,1.369044,2 Rue Jules Ferry 28200 Donnemain-Saint-Mamès,0.78,housenumber,28132_0030_00002,2,Rue Jules Ferry,,28200,Donnemain-Saint-Mamès,"28, Eure-et-Loir, Centre-Val de Loire",28132,,,
0950772Y,APT 6 RUE DE LA CHAPELLE,ST OUEN L AUMONE,95310,636301.3,6884769.1,49.05962312668548,2.128445825204045,APT,49.059623,2.128446,6 Rue de la Chapelle 95310 Saint-Ouen-l'Aumône,0.81,housenumber,95572_0080_00006,6,Rue de la Chapelle,,95310,Saint-Ouen-l'Aumône,"95, Val-d'Oise, Île-de-France",95572,,,
0880153N,APT 13 RUE DE L'EPINETTE,REMIREMONT CEDEX,88204,967024.9,6775180.7,48.02247475731673,6.583150512223737,APT,48.022475,6.583151,13 Rue de l'Epinette 88200 Remiremont,0.69,housenumber,88383_0390_00013,13,Rue de l'Epinette,,88200,Remiremont,"88, Vosges, Grand Est",88383,,,
0311688S,APT 12 RUE PIERRE LABITRIE,TOURNEFEUILLE,31170,564739.1,6276968.2,43.57886862036976,1.325830033678396,APT,43.578402,1.32679,Rue Pierre Labitrie 31170 Tournefeuille,0.82,street,31557_3050,,Rue Pierre Labitrie,,31170,Tournefeuille,"31, Haute-Garonne, Occitanie",31557,,,
0752937K,APT 9  RUE VILLARET DE JOYEUSE,PARIS,75017,647924.4,6864346.5,48.87703315716349,2.289981264158404,APT,48.877033,2.289981,9 Rue Villaret de Joyeuse 75017 Paris,0.88,housenumber,75117_9817_00009,9,Rue Villaret de Joyeuse,,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement
0370952J,APT 8 PLACE DE LA TRANCHÉE,TOURS,37100,525144.1,6703595.6,47.40959568069954,0.6809399883175407,APT,47.409295,0.681379,8 Place de la Tranchée 37100 Tours,0.87,housenumber,37261_4786_00008,8,Place de la Tranchée,,37100,Tours,"37, Indre-et-Loire, Centre-Val de Loire",37261,,,
0421922L,APT 29 RUE SAINT JUST,LA FOUILLOUSE,42480,802172.5,6490309.4,45.50463395310021,4.308460380818227,APT,45.501503,4.313176,29 Rue de Saint Just 42480 La Fouillouse,0.81,housenumber,42097_2k2dy3_00029,29,Rue de Saint Just,,42480,La Fouillouse,"42, Loire, Auvergne-Rhône-Alpes",42097,,,
0694278A,APT 231 CHEMIN DU BIEF,LUCENAY,69480,832663.5,6536530.0,45.91551781688439,4.711661389776356,APT,45.915518,4.711661,231 Chemin du Bief 69480 Lucenay,0.85,housenumber,69122_0008_00231,231,Chemin du Bief,,69480,Lucenay,"69, Rhône, Auvergne-Rhône-Alpes",69122,,,
0810038B,APT RUE JACQUES DURAND,REALMONT,81120,634983.5,6297428.0,43.772879753746686,2.192586390099436,APT,43.772898,2.192583,Rue Jacques Durand 81120 Réalmont,0.85,street,81222_0045,,Rue Jacques Durand,,81120,Réalmont,"81, Tarn, Occitanie",81222,,,
0021049E,APT PLACE VATIN,FRESNOY LE GRAND,2230,730007.4,6983443.3,49.94888068512447,3.417730209581632,APT,49.948995,3.416792,Place Vatin 02230 Fresnoy-le-Grand,0.79,street,02334_0215,,Place Vatin,,02230,Fresnoy-le-Grand,"02, Aisne, Hauts-de-France",02334,,,
