numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
0211992B,PAVILLON 2B RUE ALBERT GAYET,DIJON,21000,852426.9,6693368.8,47.32311174831084,5.01826434366499,PAVILLON,47.323153,5.017815,2b Rue Albert Gayet 21000 Dijon,0.76,housenumber,21231_0110_00002_b,2b,Rue Albert Gayet,,21000,Dijon,"21, Côte-d'Or, Bourgogne-Franche-Comté",21231,,,
0280238G,PAVILLON 4 RUE PASTEUR,LUCE,28110,586487.2,6816486.6,48.43872838396294,1.4651602384600733,PAVILLON,48.438765,1.465837,4 Rue Pasteur 28110 Lucé,0.7,housenumber,28218_0320_00004,4,Rue Pasteur,,28110,Lucé,"28, Eure-et-Loir, Centre-Val de Loire",28218,,,
0490003M,PAVILLON 2 RUE ADRIEN RECOUVREUR,ANGERS CEDEX 01,49007,432080.3,6712034.9,47.45435034132608,-0.5569974847068891,PAVILLON,47.45435,-0.556997,2 Rue Adrien Recouvreur 49000 Angers,0.61,housenumber,49007_0060_00002,2,Rue Adrien Recouvreur,,49000,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,
0331915C,PAVILLON 45 RUE DE DIJON,BORDEAUX CEDEX,33072,419403.5,6422300.1,44.84305663695766,-0.5521475974993606,PAVILLON,44.843008,-0.552078,45 Rue de Dijon 33100 Bordeaux,0.54,housenumber,33063_2680_00045,45,Rue de Dijon,,33100,Bordeaux,"33, Gironde, Nouvelle-Aquitaine",33063,,,
0930167B,PAVILLON 88 RUE SAINT STENAY,DRANCY,93700,657665.7,6869201.2,48.9214036586398,2.4223083651255357,PAVILLON,48.921471,2.422455,88 Rue Saint Stenay 93700 Drancy,0.76,housenumber,93029_8875_00088,88,Rue Saint Stenay,,93700,Drancy,"93, Seine-Saint-Denis, Île-de-France",93029,,,
0540936Z,PAVILLON 20 RUE DU CAMP,PONT A MOUSSON,54700,924223.8,6871737.4,48.90653365510262,6.059610366306891,PAVILLON,48.907458,6.058525,Rue du Camp 54700 Pont-à-Mousson,0.71,street,54431_0090,,Rue du Camp,,54700,Pont-à-Mousson,"54, Meurthe-et-Moselle, Grand Est",54431,,,
0911372X,PAVILLON IMPASSE DE LA TUILERIE,ST GERMAIN LES CORBEIL,91250,662433.0,6835280.1,48.616623213214496,2.4903483431162248,PAVILLON,48.616623,2.490349,Rue de la Tuilerie 91250 Saint-Germain-lès-Corbeil,0.65,street,91553_0230,,Rue de la Tuilerie,,91250,Saint-Germain-lès-Corbeil,"91, Essonne, Île-de-France",91553,,,
0010571R,PAVILLON 271 RUE DU 6 ET 7 FÉVRIER 1945,EVOSGES,1230,893484.9,6543143.8,45.960454124841306,5.498654351722564,PAVILLON,45.960417,5.498193,271 Rue du 6 et 7 Fevrier 1944 01230 Évosges,0.68,housenumber,01155_0057_00271,271,Rue du 6 et 7 Fevrier 1944,,01230,Évosges,"01, Ain, Auvergne-Rhône-Alpes",01155,,,
0831274J,PAVILLON 321 AVENUE DU FOURNAS,DRAGUIGNAN,83300,980064.4,6276245.7,43.52998404638255,6.464354254579692,PAVILLON,43.529984,6.464354,321 Avenue du Fournas 83300 Draguignan,0.79,housenumber,83050_1020_00321,321,Avenue du Fournas,,83300,Draguignan,"83, Var, Provence-Alpes-Côte d'Azur",83050,,,
0801666B,PAVILLON 4 PLACE WILLIAM POIVRE,DOINGT FLAMICOURT,80200,697626.0,6980442.3,49.92263183946819,2.966968937494318,PAVILLON,49.922632,2.966969,4 Place William Poivre 80200 Doingt,0.61,housenumber,80240_0840_00004,4,Place William Poivre,,80200,Doingt,"80, Somme, Hauts-de-France",80240,,,
