;numero_uai;adresse_uai;localite_acheminement_uai;code_postal_uai;x_L93_ref;y_L93_ref;x_WGS84_ref;y_WGS84_ref;latitude;longitude;result_housenumber;result_name;result_postcode;result_city;result_label;label
10;0681786X;6 RUE SCHAEDELIN BATBOULEVARD;COLMAR;68000;1022836.2;6784607.3;7.337638469563873;48.08201766761589;48.082018;7.337639;6;Rue Henri Schaedelin;68000;Colmar;6 Rue Henri Schaedelin 68000 Colmar;BATBOULEVARD
11;0711874B;16 RUE GUILLEMINOT BATBOULEVARD;DIGOIN;71160;775131.5;6598209.9;3.979341354474461;46.4796856806796;46.479686;3.979341;16;Rue Julien Marius Guilleminot;71160;Digoin;16 Rue Julien Marius Guilleminot 71160 Digoin;BATBOULEVARD
12;0290900W;RUE JEAN MOULIN BATBOULEVARD;LE RELECQ KERHUON;29480;153471.3;6837764.6;-4.396030668603512;48.40964439690782;48.409124;-4.395817;;rue Jean Moulin;29480;Le Relecq-Kerhuon;rue Jean Moulin 29480 Le Relecq-Kerhuon;BATBOULEVARD
13;0830836H;AVENUE DU COLLÈGE BATBOULEVARD;CARQUEIRANNE;83320;950360.3;6226374.0;6.073316526897296;43.09279378450591;43.092794;6.073316;;Avenue du Collège;83320;Carqueiranne;Avenue du Collège 83320 Carqueiranne;BATBOULEVARD
14;0010378F;ROUTE DE MONTHIEUX BATBOULEVARD;ST MARCEL;1390;853713.2;6540774.7;4.984520146764946;45.949294640072914;45.950667;4.982385;;Route de Monthieux;1390;Saint-Marcel;Route de Monthieux 01390 Saint-Marcel;BATBOULEVARD
15;0521091D;3 RUE DE LA MAIRIE BATBOULEVARD;HUMES JORQUENAY;52200;871892.2;6758475.4;5.300979439353384;47.90413013901955;47.904027;5.300926;3;Rue de la Mairie;52200;Humes-Jorquenay;3 Rue de la Mairie 52200 Humes-Jorquenay;BATBOULEVARD
16;0381585S;2 PLACE DE LA MAIRIE BATBOULEVARD;ST CLAIR DE LA TOUR;38110;893154.0;6500129.0;5.47696457252294;45.573397463792816;45.573327;5.479069;;Place de la Mairie;38110;Saint-Clair-de-la-Tour;Place de la Mairie 38110 Saint-Clair-de-la-Tour;BATBOULEVARD
17;0050012L;127 ROUTE DE VALSERRES BATBOULEVARD;GAP;5000;945520.5;6387205.4;6.091216108562817;44.54066308546264;44.540663;6.091216;127;Route de Valserres;5000;Gap;127 Route de Valserres 05000 Gap;BATBOULEVARD
18;0331071K;22 LOTISSEMENT BOIS D'ISAAC BATBOULEVARD;LA ROQUILLE;33220;481106.7;6413764.3;0.2320255976930499;44.788493863318486;44.78797;0.231353;;Lotissement Bois d’Isaac;33220;La Roquille;Lotissement Bois d’Isaac 33220 La Roquille;BATBOULEVARD
19;0831186N;10 BOULEVARD PASTEUR BATBOULEVARD;HYERES CEDEX;83409;955198.9;6229603.2;6.13422397598725;43.12010544744189;43.120105;6.134224;10;Boulevard Pasteur;83400;Hyères;10 Boulevard Pasteur 83400 Hyères;BATBOULEVARD
