;numero_uai;adresse_uai;localite_acheminement_uai;code_postal_uai;x_L93_ref;y_L93_ref;x_WGS84_ref;y_WGS84_ref;latitude;longitude;result_housenumber;result_name;result_postcode;result_city;result_label;label
25;0711188F;ETAGE 17 BIS RUE DU GÉNÉRAL LECLERC;CHAGNY;71150;833408.4;6647453.2;4.7530371515202585;46.913938932827605;46.913939;4.753037;17bis;Avenue du General Leclerc;71150.0;Chagny;17bis Avenue du General Leclerc 71150 Chagny;ETAGE
26;0762506L;ETAGE 945 RUE DU GÉNÉRAL DE GAULLE;ST JACQUES SUR DARNETAL;76160;569674.0;6928286.2;1.2035094276958411;49.44066446006658;49.440696;1.203236;945;Rue du Général de Gaulle;76160.0;Saint-Jacques-sur-Darnétal;945 Rue du Général de Gaulle 76160 Saint-Jacques-sur-Darnétal;ETAGE
27;0040044B;ETAGE 5 PLACE DES CORDELIERS;DIGNE LES BAINS CEDEX;4004;959128.5;6338164.0;6.237060584123931;44.09466935826107;44.094664;6.237406;5;Place Des Cordeliers;4000.0;Digne-les-Bains;5 Place Des Cordeliers 04000 Digne-les-Bains;ETAGE
28;0851271V;ETAGE 2 RUE DU DOCTEUR PABOEUF;LUCON;85400;380378.0;6603459.7;-1.166239737054564;46.45520925511292;46.455209;-1.16624;2;Rue du docteur pabeuf;85400.0;Luçon;2 Rue du docteur pabeuf 85400 Luçon;ETAGE
29;0511434G;ETAGE 1 ROUTE ROYALE;STE MENEHOULD CEDEX;51801;839591.8;6889743.7;4.911309715179836;49.092321392861386;49.091876;4.912526;1;Route Royale;51800.0;Sainte-Menehould;1 Route Royale 51800 Sainte-Menehould;ETAGE
30;0221240D;ETAGE ROUTE DE DINAN;BEAUSSAIS SUR MER;22650;321342.7;6843103.0;-2.1367704862321;48.57725415322151;48.577901;-2.136828;;Rue de Dinan;22650.0;Beaussais-sur-Mer;Rue de Dinan 22650 Beaussais-sur-Mer;ETAGE
31;0623429R;ETAGE RUE JEAN CLAUDE DELOBELLE;DIVION;62460;665165.0;7041294.3;2.510070078331473;50.4681019610364;50.46788;2.510098;;Rue Jean Claude Delobelle;62460.0;Divion;Rue Jean Claude Delobelle 62460 Divion;ETAGE
32;0700765B;ETAGE 2 RUE DES ECOLES;VILLERS LE SEC;70000;941743.7;6727021.1;6.217983888078447;47.599229638753;47.59923;6.217984;2;Rue des Ecoles;70000.0;Villers-le-Sec;2 Rue des Ecoles 70000 Villers-le-Sec;ETAGE
33;0772646H;ETAGE 2 COURS DE LA TAMISE;SERRIS;77700;683721.5;6861884.7;2.778141588998246;48.856793777768765;48.856794;2.778141;2;Cours de la Tamise;77700.0;Serris;2 Cours de la Tamise 77700 Serris;ETAGE
34;0770150V;ETAGE 8 ROUTE DE CHÂTEAU LANDON;MONDREVILLE;77570;670969.3;6782542.9;2.609690099838707;48.14260647152796;48.144106;2.653014;8;Route de Château-landon;77570.0;Mondreville;8 Route de Château-landon 77570 Mondreville;ETAGE
35;0490676U;ETAGE PLACE FLANDRE ET DUNKERQUE;VEZINS;49340;418576.6;6675603.4;-0.7132894135796402;47.12113112200888;47.1212;-0.7133;;Place  Flandres Dunkerque;49340.0;Vezins;Place  Flandres Dunkerque 49340 Vezins;ETAGE
36;0911234X;ETAGE 130 RUE DE CERCAY;BRUNOY;91800;665030.5;6845445.7;2.5247563499508185;48.708203942176006;48.708204;2.524756;130;Rue de Cerçay;91800.0;Brunoy;130 Rue de Cerçay 91800 Brunoy;ETAGE
37;0911750H;ETAGE RUE DU BARON DE NIVIÈRE;VILLEBON SUR YVETTE;91140;645257.2;6844725.0;2.256137891915809;48.70034895517498;48.700349;2.25614;;Rue du Baron de Nivière;91140.0;Villebon-sur-Yvette;Rue du Baron de Nivière 91140 Villebon-sur-Yvette;ETAGE
38;0851645B;ETAGE 15 RUE DES DAMES - PUYBELLIARD;CHANTONNAY;85110;392189.7;6630862.5;-1.0307643609704422;46.70713958628147;46.707139;-1.030764;15;Rue des dames;85110.0;Chantonnay;15 Rue des dames 85110 Chantonnay;ETAGE
39;0130860P;ETAGE 193 BOULEVARD CHAVE;MARSEILLE;13005;894721.4;6247043.0;5.39850003828911;43.29593659023734;43.295944;5.398515;193;Boulevard chave;13005.0;Marseille;193 Boulevard chave 13005 Marseille;ETAGE
40;0280866P;ETAGE 16 RUE DES ECOLES;BONNEVAL;28800;580349.6;6788353.8;1.3899496088266037;48.18456270289576;48.184117;1.390559;16;Rue des Ecoles;28800.0;Bonneval;16 Rue des Ecoles 28800 Bonneval;ETAGE
41;0160373U;ETAGE 1 IMPASSE MARCEL PAGNOL;ROULLET ST ESTEPHE;16440;470157.2;6502694.9;0.0517204238326252;45.58514198774685;45.585074;0.05121;1;Impasse Marcel Pagnol;16440.0;Roullet-Saint-Estèphe;1 Impasse Marcel Pagnol 16440 Roullet-Saint-Estèphe;ETAGE
42;0400383Z;ETAGE 25 ROUTE DU CAP DE GASCOGNE;EYRES MONCUBE;40500;413791.7;6297831.7;-0.5522563714998948;43.72156341127489;43.721563;-0.552256;25;Route du Cap de Gascogne;40500.0;Eyres-Moncube;25 Route du Cap de Gascogne 40500 Eyres-Moncube;ETAGE
43;0831559U;ETAGE ROUTE D 560L;ST MAXIMIN LA STE BAUME;83470;931281.8;6266176.4;5.8569990548037305;43.45702617700875;43.454234;5.881806;;Route de Bras;83470.0;Saint-Maximin-la-Sainte-Baume;Route de Bras 83470 Saint-Maximin-la-Sainte-Baume;ETAGE
44;0680762J;ETAGE 5 RUE DE LA FORÊT;WILLER;68960;1024434.4;6729803.0;7.318834730160364;47.58873305790637;47.588785;7.318805;5;Rue de la Forêt;68960.0;Willer;5 Rue de la Forêt 68960 Willer;ETAGE
45;0701196V;ETAGE 1 ROUTE ROUTE DE CHAMBORNAY;ETUZ;70150;921868.4;6698483.5;5.939534105399446;47.34951163389309;47.349512;5.939534;1;Route de Chambornay;70150.0;Étuz;1 Route de Chambornay 70150 Étuz;ETAGE
46;0130146N;ETAGE RUE DES LAURIERS;MIRAMAS;13140;861688.2;6279707.0;5.00200023888562;43.597969954273616;43.596211;5.000196;;Rue des Lauriers;13140.0;Miramas;Rue des Lauriers 13140 Miramas;ETAGE
47;0570051W;ETAGE 21 RUE DES VOSGES;FREYMING MERLEBACH CEDEX;57804;978437.1;6901613.0;6.818030447098487;49.15369307566019;49.153165;6.81882;21;Rue des Vosges;57800.0;Freyming-Merlebach;21 Rue des Vosges 57800 Freyming-Merlebach;ETAGE
48;0260631V;ETAGE PLACE MONTCHOREL;ROMANS SUR ISERE;26100;861275.3;6440412.0;5.048500204949255;45.04412711173123;45.044164;5.048626;;Rue Montchorel;26100.0;Romans-sur-Isère;Rue Montchorel 26100 Romans-sur-Isère;ETAGE
49;0721013K;ETAGE 25 RUE HAUTE;JUIGNE SUR SARTHE;72300;454235.1;6756237.9;-0.2876348444196345;47.86048276529756;47.860483;-0.287635;25;Rue Haute;72300.0;Juigné-sur-Sarthe;25 Rue Haute 72300 Juigné-sur-Sarthe;ETAGE
50;0691225G;ETAGE 160 AVENUE SAINT EXUPÉRY;BRON;69500;848492.0;6515875.6;4.909366865752929;45.72630779018804;45.726308;4.909367;160;Avenue Saint-Exupéry;69500.0;Bron;160 Avenue Saint-Exupéry 69500 Bron;ETAGE
51;0770939C;ETAGE 12 AVENUE DU 8 MAI 1945;MONTEREAU FAULT YONNE;77130;695955.5;6808570.8;2.945380298354958;48.37742624453432;48.377426;2.94538;12;Rue du 8 Mai 1945;77130.0;Montereau-Fault-Yonne;12 Rue du 8 Mai 1945 77130 Montereau-Fault-Yonne;ETAGE
52;0890300T;ETAGE 41 ROUTE RN 151;GY L EVEQUE;89580;741007.2;6735641.9;3.546958485332948;47.71988987777906;47.721097;3.550596;;Rue de Rechievre;89580.0;Gy-l'Évêque;Rue de Rechievre 89580 Gy-l'Évêque;ETAGE
53;0891166J;ETAGE 32 RUE NORMIER SIMON;RAVIERES;89390;792018.5;6737986.4;4.227759693645572;47.73583101211969;47.735831;4.22776;32;Rue Normier Simon;89390.0;Ravières;32 Rue Normier Simon 89390 Ravières;ETAGE
54;0290053A;ETAGE 6 PLACE PIERRE CLOAREC;PLEYBEN;29190;183201.2;6814950.0;-3.968680599394304;48.22952261577184;48.229641;-3.970754;6;Rue Pierre Cloarec;29190.0;Pleyben;6 Rue Pierre Cloarec 29190 Pleyben;ETAGE
55;0421448W;ETAGE 5 RUE DES ÉCOLES;LES SALLES;42440;761468.3;6527498.7;3.7920098062605705;45.844364073848666;45.845818;3.792363;5;Rue des Ecoles;42440.0;Les Salles;5 Rue des Ecoles 42440 Les Salles;ETAGE
56;0280523S;ETAGE 3 RUE DE L'EGLISE;BAILLEAU LE PIN;28120;576405.5;6808584.4;1.3311394924688924;48.36581023945087;48.365338;1.331051;3;Rue de l'Eglise;28120.0;Bailleau-le-Pin;3 Rue de l'Eglise 28120 Bailleau-le-Pin;ETAGE
57;0381806G;ETAGE 26 RUE PROSPER MERIMEE;GRENOBLE;38100;914135.8;6456422.1;5.726480556391532;45.17382869435962;45.173863;5.726328;26;Rue Prosper Merimée;38100.0;Grenoble;26 Rue Prosper Merimée 38100 Grenoble;ETAGE
58;0330058J;ETAGE 43 RUE FORT BAYARD;BRANNE;33420;448373.9;6418990.1;-0.1841351276871816;44.82440507553535;44.824405;-0.184135;43;Rue du Fort Bayard;33420.0;Branne;43 Rue du Fort Bayard 33420 Branne;ETAGE
59;0380092U;ETAGE 21 BOULEVARD EDGAR KOFLER;VOIRON CEDEX;38501;903493.8;6476823.9;5.599630597517303;45.36065971064137;45.361574;5.598834;;Boulevard Edgar Kofler;38500.0;Voiron;Boulevard Edgar Kofler 38500 Voiron;ETAGE
60;0501592J;ETAGE 7 RUE DES HAUTS VENTS;LA HAYE;50250;369638.1;6918772.1;-1.5421195247837227;49.28304005478523;49.285147;-1.541779;7;Rue des Hauts Vents;50250.0;La Haye;7 Rue des Hauts Vents 50250 La Haye;ETAGE
61;0911967U;ETAGE RUE DU MOSNIL;BAULNE;91590;652982.5;6822027.3;2.363592442099459;48.49679371505248;48.496794;2.363593;;Rue du Mosnil;91590.0;Baulne;Rue du Mosnil 91590 Baulne;ETAGE
62;0501661J;ETAGE 210 RUE KENNEDY;BARENTON;50720;417764.8;6839950.3;-0.8290598026770065;48.59815618095524;48.598732;-0.828948;210;rue du président john kennedy;50720.0;Barenton;210 rue du président john kennedy 50720 Barenton;ETAGE
63;0890613H;ETAGE 13 RUE JACQUES FERRAND;JOIGNY;89300;729850.5;6764784.1;3.4001218470242787;47.98276467663135;47.982765;3.400122;13;Rue Jacques Ferrand;89300.0;Joigny;13 Rue Jacques Ferrand 89300 Joigny;ETAGE
64;0500570Y;ETAGE 1 BIS VILLAGE DE L'EGLISE;SIDEVILLE;50690;361083.2;6953826.3;-1.688049800995112;49.59307804161625;49.592926;-1.6876;;Village de l’Eglise;50690.0;Sideville;Village de l’Eglise 50690 Sideville;ETAGE
65;0011009S;ETAGE 50 CHEMIN DE L'ECOLE;JAYAT;1340;862922.5;6587525.9;5.119559995063749;46.36798493889978;46.36854;5.119028;50;Chemin de l’Ecole;1340.0;Jayat;50 Chemin de l’Ecole 01340 Jayat;ETAGE
66;0910178Z;ETAGE 126 RUE SAINT JACQUES;ETAMPES;91150;637421.3;6815053.7;2.153988508178146;48.43274671664046;48.432747;2.153989;126;Rue Saint Jacques;91150.0;Étampes;126 Rue Saint Jacques 91150 Étampes;ETAGE
67;0870254D;ETAGE 18 RUE DU PUY LAS RODAS;LIMOGES;87000;563203.1;6526840.9;1.2378151832083215;45.82747066373654;45.827471;1.237815;18;rue du Puy Las Rodas;87000.0;Limoges;18 rue du Puy Las Rodas 87000 Limoges;ETAGE
68;0660698A;ETAGE 31 RUE TORCATIS;RIVESALTES;66600;689886.6;6185467.6;2.87657487805815;42.7686759834736;42.768676;2.876575;31;Rue Louis Torcatis;66600.0;Rivesaltes;31 Rue Louis Torcatis 66600 Rivesaltes;ETAGE
69;0623902E;ETAGE 68 RUE ANTOINE DE SAINT-EXUPÉRY;BEUVRY;62660;676067.2;7046791.7;2.663069709245919;50.51795889905968;50.517958;2.663014;68;Rue Saint Exupery;62660.0;Beuvry;68 Rue Saint Exupery 62660 Beuvry;ETAGE
70;0280145F;ETAGE 3 BIS RUE LÉON BLUM;VERNOUILLET;28500;579392.1;6848053.1;1.3603905361882118;48.721339375584485;48.720703;1.360718;3bis;Rue Léon Blum;28500.0;Vernouillet;3bis Rue Léon Blum 28500 Vernouillet;ETAGE
71;0751237M;ETAGE 18 RUE DE SURÈNE;PARIS;75008;650162.3;6863662.6;2.320572343065137;48.87106010189899;48.87106;2.320573;18;Rue de Surène;75008.0;Paris;18 Rue de Surène 75008 Paris;ETAGE
72;0080152X;ETAGE RUE DE L'ABBAYE;SIGNY L ABBAYE;8460;802652.6;6956615.4;4.4221496572252175;49.70026626381441;49.710695;4.40952;;rue du grand étang;8460.0;Signy-l'Abbaye;rue du grand étang 08460 Signy-l'Abbaye;ETAGE
73;0572971V;ETAGE 5 RUE DES ECOLES;SOUCHT;57960;1017088.7;6881955.8;7.332259704371481;48.95925114637032;48.959192;7.332504;5;Rue des Ecoles;57960.0;Soucht;5 Rue des Ecoles 57960 Soucht;ETAGE
74;0350878P;ETAGE 22 RUE DE L'HERMINE;PLELAN LE GRAND;35380;320062.3;6778808.5;-2.097860534769451;47.999244604121536;47.999541;-2.097581;22;Rue de l'Hermine;35380.0;Plélan-le-Grand;22 Rue de l'Hermine 35380 Plélan-le-Grand;ETAGE
75;0341537L;ETAGE PLACE JEAN MOULIN;PEROLS;34470;776762.0;6274038.1;3.949769549233903;43.56125345069543;43.566394;3.955252;;Rue de l’Etang;34470.0;Pérols;Rue de l’Etang 34470 Pérols;ETAGE
76;0860792U;ETAGE 7 AVENUE DE LA VIENNE;CHAUVIGNY;86300;519472.7;6610045.0;0.6427940940772336;46.56618477556919;46.566185;0.642794;7;Avenue de la Vienne;86300.0;Chauvigny;7 Avenue de la Vienne 86300 Chauvigny;ETAGE
77;0922843R;ETAGE 15 RUE VOLTAIRE;PUTEAUX;92800;644147.7;6864361.9;2.238489345386782;48.87685517503962;48.876855;2.238489;15;Rue Voltaire;92800.0;Puteaux;15 Rue Voltaire 92800 Puteaux;ETAGE
78;0360050J;ETAGE 365 AVENUE DE VERDUN;CHATEAUROUX CEDEX;36002;600965.6;6633030.5;1.701670406467272;46.79008330639698;46.789767;1.701475;365;Avenue de Verdun;36000.0;Châteauroux;365 Avenue de Verdun 36000 Châteauroux;ETAGE
79;0930824R;ETAGE 36 AVENUE VICTOR HUGO;NEUILLY PLAISANCE;93360;664070.6;6861751.5;2.510337246449584;48.85479967072916;48.8548;2.510337;36;Avenue Victor Hugo;93360.0;Neuilly-Plaisance;36 Avenue Victor Hugo 93360 Neuilly-Plaisance;ETAGE
80;0171168C;ETAGE 8 RUE JULES FERRY;TESSON;17460;415500.9;6510058.6;-0.6528400138711703;45.63082684259529;45.630839;-0.65287;8;Rue Jules Ferry;17460.0;Tesson;8 Rue Jules Ferry 17460 Tesson;ETAGE
81;0341309N;ETAGE 122 RUE DE LA ROMPUDE;ST GELY DU FESC;34980;764561.7;6288642.0;3.800659713753544;43.69386522230341;43.694199;3.800521;122;Rue de la Rompude;34980.0;Saint-Gély-du-Fesc;122 Rue de la Rompude 34980 Saint-Gély-du-Fesc;ETAGE
82;0850280T;ETAGE 2 BIS RUE DE LA CAILLELLE;CHATEAU GUIBERT;85320;371976.6;6616625.4;-1.284842839213782;46.56954347804937;46.569543;-1.284843;2bis;Rue de la caillelle;85320.0;Château-Guibert;2bis Rue de la caillelle 85320 Château-Guibert;ETAGE
83;0831175B;ETAGE RUE DES ECOLES;SOLLIES TOUCAS;83210;945961.7;6238754.0;6.025193836896152;43.20559109882577;43.205625;6.024947;;Rue des Ecoles;83210.0;Solliès-Toucas;Rue des Ecoles 83210 Solliès-Toucas;ETAGE
84;0700960N;ETAGE 40 RUE MARQUISET;FONTAINE LES LUXEUIL;70800;949248.8;6756024.0;6.334063777457383;47.85724508453621;47.857245;6.334064;40;Rue Marquiset;70800.0;Fontaine-lès-Luxeuil;40 Rue Marquiset 70800 Fontaine-lès-Luxeuil;ETAGE
85;0930419A;ETAGE 15 RUE AUGUSTE BLANQUI;ST DENIS;93200;653017.9;6871056.2;2.358681795889019;48.9377618395158;48.937762;2.358682;15;Rue Auguste Blanqui;93200.0;Saint-Denis;15 Rue Auguste Blanqui 93200 Saint-Denis;ETAGE
86;0780243R;ETAGE 77 RUE DE PIERREFITTE;CONFLANS STE HONORINE;78700;633012.3;6877963.4;2.084527737779575;48.99809710369489;48.998097;2.084528;77;Rue de Pierrefitte;78700.0;Conflans-Sainte-Honorine;77 Rue de Pierrefitte 78700 Conflans-Sainte-Honorine;ETAGE
87;0380917R;ETAGE 74 PLACE DE LA MAIRIE;REVEL;38420;925193.9;6458094.7;5.867930058515765;45.1853531613538;45.185317;5.868057;74;Place de la Mairie;38420.0;Revel;74 Place de la Mairie 38420 Revel;ETAGE
88;0690618X;ETAGE 30 AVENUE CHARLES DE GAULLE;TARARE CEDEX;69172;811152.0;6534136.4;4.43362030504382;45.89782559487452;45.897819;4.433574;30;avenue charles de gaulle;69170.0;Tarare;30 avenue charles de gaulle 69170 Tarare;ETAGE
89;0820908S;ETAGE 93 AVENUE MARCEAU HAMECHER;MONTAUBAN;82000;567429.9;6325212.6;1.3466237166103183;44.01342330243069;44.013423;1.346624;93;avenue marceau hamecher;82000.0;Montauban;93 avenue marceau hamecher 82000 Montauban;ETAGE
90;0751037V;ETAGE 7 RUE BARBANÈGRE;PARIS;75019;654749.6;6865968.9;2.382861708191529;48.89213866232671;48.892139;2.382862;7;Rue Barbanègre;75019.0;Paris;7 Rue Barbanègre 75019 Paris;ETAGE
91;0040017X;ETAGE RUE DU COLLÈGE;RIEZ;4500;948792.1;6306750.3;6.092710520618963;43.81591095374647;;;;;;;;ETAGE
92;0351203T;ETAGE 22 RUE DE BRUZ;BREAL SOUS MONTFORT;35310;338009.3;6783067.2;-1.8611903971315644;48.04767044686293;48.047763;-1.861736;22;Rue de Bruz;35310.0;Bréal-sous-Montfort;22 Rue de Bruz 35310 Bréal-sous-Montfort;ETAGE
93;0530748A;ETAGE 17 PLACE PASTEUR;LAVAL;53000;418081.4;6780766.4;-0.7862993681037967;48.066432999319225;48.06642;-0.787704;17;Place Pasteur;53000.0;Laval;17 Place Pasteur 53000 Laval;ETAGE
94;0311333F;ETAGE 7 AVENUE DES ECOLES JULES JULIEN;TOULOUSE;31400;575169.9;6276190.8;1.455089487439257;43.573788312771015;43.5747;1.454803;7;Avenue des Ecoles Jules Julien;31400.0;Toulouse;7 Avenue des Ecoles Jules Julien 31400 Toulouse;ETAGE
95;0240094X;ETAGE 74 AVENUE PASTEUR;BERGERAC;24100;502146.6;6421024.9;0.4949822951773704;44.86015028827046;44.860194;0.495023;74;Avenue Pasteur;24100.0;Bergerac;74 Avenue Pasteur 24100 Bergerac;ETAGE
96;0640843U;ETAGE 14 RUE DU BOIS;BORDES;64510;433439.6;6243068.8;-0.2804700413087816;43.236976049712254;43.237099;-0.280326;14;Rue du Bois;64510.0;Bordes;14 Rue du Bois 64510 Bordes;ETAGE
97;0601408E;ETAGE 12 RUE DE LIZY;NANTEUIL LE HAUDOUIN;60440;686133.4;6893067.3;2.8099903974777813;49.13724439870172;49.137548;2.80957;12;Rue de Lizy;60440.0;Nanteuil-le-Haudouin;12 Rue de Lizy 60440 Nanteuil-le-Haudouin;ETAGE
98;0690406S;ETAGE 22 RUE DE SAINT CYR;LYON;69009;840416.7;6521586.9;4.807249355464154;45.77943431055765;45.779435;4.807249;22;Rue de Saint-Cyr;69009.0;Lyon;22 Rue de Saint-Cyr 69009 Lyon;ETAGE
99;0951482V;ETAGE 148 RUE DE CONFLANS;HERBLAY SUR SEINE;95220;637944.1;6878018.2;2.151913635540941;48.99908505085861;48.999223;2.15184;148;Rue de Conflans;95220.0;Herblay-sur-Seine;148 Rue de Conflans 95220 Herblay-sur-Seine;ETAGE
